id,audio1,audio2,emotion
0,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/1b31e2b3-04de-4699-83d7-3159684755fd/VITS.wav,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/1b31e2b3-04de-4699-83d7-3159684755fd/VoiceLDM.wav,sadness
1,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/8f6a1c42-84b4-482d-90f8-7ffbba90067f/GPT-4o-mini.wav,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/8f6a1c42-84b4-482d-90f8-7ffbba90067f/VITS.wav,surprise
2,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/7463c055-9842-46dc-a1fa-ab199b6c706c/GPT-4o-mini.wav,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/7463c055-9842-46dc-a1fa-ab199b6c706c/VITS.wav,anger
3,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/444e7072-b894-4379-92db-875219b64a87/VITS.wav,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/444e7072-b894-4379-92db-875219b64a87/VoiceLDM.wav,sadness
4,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/c31085a3-6958-41dd-8f2a-1904b249e825/GPT-4o-mini.wav,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/c31085a3-6958-41dd-8f2a-1904b249e825/PromptTTS.wav,joy
5,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/4166c0a9-0504-419c-a77c-99dfdbf7a42a/PromptTTS.wav,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/4166c0a9-0504-419c-a77c-99dfdbf7a42a/VITS.wav,joy
6,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/53a3ccb7-e22d-4ee1-8e5e-610076a2244a/VITS.wav,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/53a3ccb7-e22d-4ee1-8e5e-610076a2244a/VoiceLDM.wav,joy
7,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/dc02a764-08dd-400a-9bd6-bfc7ae14103e/GPT-4o-mini.wav,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/dc02a764-08dd-400a-9bd6-bfc7ae14103e/PromptTTS.wav,anger
8,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/44d1d3eb-755d-4c16-8819-5679b200e08e/GPT-4o-mini.wav,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/44d1d3eb-755d-4c16-8819-5679b200e08e/VITS.wav,anger
9,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/e3f40b95-8614-457d-bee3-01cb77793f64/GPT-4o-mini.wav,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/e3f40b95-8614-457d-bee3-01cb77793f64/VITS.wav,sadness
10,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/42bf14b8-e74e-4ec9-9a73-09b0f25d9add/VITS.wav,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/42bf14b8-e74e-4ec9-9a73-09b0f25d9add/VoiceLDM.wav,sadness
11,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/13cb10c3-ffa2-4db1-8077-604851c55010/GPT-4o-mini.wav,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/13cb10c3-ffa2-4db1-8077-604851c55010/VITS.wav,anger
12,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/8cecf5c4-faf2-41ac-ab89-5a685382d448/GPT-4o-mini.wav,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/8cecf5c4-faf2-41ac-ab89-5a685382d448/VITS.wav,joy
13,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/91ca5173-7e76-42f1-95a2-6e5f95a75bf8/GPT-4o-mini.wav,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/91ca5173-7e76-42f1-95a2-6e5f95a75bf8/PromptTTS.wav,joy
14,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/4f7ee11e-d97a-47e4-b871-237866552c61/GPT-4o-mini.wav,https://github.com/nukkk97/spear_emotion/raw/refs/heads/main/pairwise_outputs/4f7ee11e-d97a-47e4-b871-237866552c61/VITS.wav,joy
